case_id,prefix,k,next_act
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t11_create_document_x_request_unlicensed t12_check_document_x_request_unlicensed t14_determine_document_x_request_unlicensed,16,t15_print_document_x_request_unlicensed
case-3756,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3756,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t02_check_confirmation_of_receipt
case-3756,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt,2,t07-1_draft_intern_advice_aspect_1
case-3756,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t07-1_draft_intern_advice_aspect_1,3,t06_determine_necessity_of_stop_advice
case-3756,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice,4,t10_determine_necessity_to_stop_indication
case-3756,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,5,t04_determine_confirmation_of_receipt
case-3756,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t04_determine_confirmation_of_receipt,6,t05_print_and_send_confirmation_of_receipt
case-3766,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3766,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t10_determine_necessity_to_stop_indication
case-3766,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,2,t02_check_confirmation_of_receipt
case-3766,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt,3,t03_adjust_confirmation_of_receipt
case-3766,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt,4,t02_check_confirmation_of_receipt
case-3766,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt,5,t04_determine_confirmation_of_receipt
case-3766,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,6,t05_print_and_send_confirmation_of_receipt
case-3818,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t02_check_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt,2,t03_adjust_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt,3,t02_check_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt,4,t07-5_draft_intern_advice_aspect_5
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5,5,t06_determine_necessity_of_stop_advice
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5 t06_determine_necessity_of_stop_advice,6,t10_determine_necessity_to_stop_indication
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,7,t03_adjust_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t03_adjust_confirmation_of_receipt,8,t02_check_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt,9,t03_adjust_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt,10,t02_check_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt,11,t04_determine_confirmation_of_receipt
case-3818,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t07-5_draft_intern_advice_aspect_5 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,12,t05_print_and_send_confirmation_of_receipt
case-416,confirmation_of_receipt,0,t02_check_confirmation_of_receipt
case-416,confirmation_of_receipt t02_check_confirmation_of_receipt,1,t04_determine_confirmation_of_receipt
case-416,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,2,t05_print_and_send_confirmation_of_receipt
case-416,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,3,t06_determine_necessity_of_stop_advice
case-416,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice,4,t10_determine_necessity_to_stop_indication
case-3989,confirmation_of_receipt,0,t02_check_confirmation_of_receipt
case-3989,confirmation_of_receipt t02_check_confirmation_of_receipt,1,t04_determine_confirmation_of_receipt
case-3989,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,2,t05_print_and_send_confirmation_of_receipt
case-3989,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,3,t06_determine_necessity_of_stop_advice
case-3989,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice,4,t10_determine_necessity_to_stop_indication
case-3991,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3991,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t02_check_confirmation_of_receipt
case-3991,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt,2,t04_determine_confirmation_of_receipt
case-3991,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,3,t10_determine_necessity_to_stop_indication
case-3991,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t10_determine_necessity_to_stop_indication,4,t05_print_and_send_confirmation_of_receipt
case-3984,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t07-5_draft_intern_advice_aspect_5
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5,2,t07-1_draft_intern_advice_aspect_1
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1,3,t08_draft_and_send_request_for_advice
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice,4,t09-1_process_or_receive_external_advice_from_party_1
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1,5,t07-3_draft_intern_advice_hold_for_aspect_3
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1 t07-3_draft_intern_advice_hold_for_aspect_3,6,t07-4_draft_internal_advice_to_hold_for_type_4
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1 t07-3_draft_intern_advice_hold_for_aspect_3 t07-4_draft_internal_advice_to_hold_for_type_4,7,t07-2_draft_intern_advice_aspect_2
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1 t07-3_draft_intern_advice_hold_for_aspect_3 t07-4_draft_internal_advice_to_hold_for_type_4 t07-2_draft_intern_advice_aspect_2,8,t02_check_confirmation_of_receipt
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1 t07-3_draft_intern_advice_hold_for_aspect_3 t07-4_draft_internal_advice_to_hold_for_type_4 t07-2_draft_intern_advice_aspect_2 t02_check_confirmation_of_receipt,9,t04_determine_confirmation_of_receipt
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1 t07-3_draft_intern_advice_hold_for_aspect_3 t07-4_draft_internal_advice_to_hold_for_type_4 t07-2_draft_intern_advice_aspect_2 t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,10,t05_print_and_send_confirmation_of_receipt
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1 t07-3_draft_intern_advice_hold_for_aspect_3 t07-4_draft_internal_advice_to_hold_for_type_4 t07-2_draft_intern_advice_aspect_2 t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,11,t06_determine_necessity_of_stop_advice
case-3984,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-5_draft_intern_advice_aspect_5 t07-1_draft_intern_advice_aspect_1 t08_draft_and_send_request_for_advice t09-1_process_or_receive_external_advice_from_party_1 t07-3_draft_intern_advice_hold_for_aspect_3 t07-4_draft_internal_advice_to_hold_for_type_4 t07-2_draft_intern_advice_aspect_2 t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice,12,t10_determine_necessity_to_stop_indication
case-3998,confirmation_of_receipt,0,t02_check_confirmation_of_receipt
case-3998,confirmation_of_receipt t02_check_confirmation_of_receipt,1,t04_determine_confirmation_of_receipt
case-3998,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,2,t05_print_and_send_confirmation_of_receipt
case-3998,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,3,t06_determine_necessity_of_stop_advice
case-3998,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice,4,t10_determine_necessity_to_stop_indication
case-3995,confirmation_of_receipt,0,t02_check_confirmation_of_receipt
case-3995,confirmation_of_receipt t02_check_confirmation_of_receipt,1,t04_determine_confirmation_of_receipt
case-3995,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,2,t05_print_and_send_confirmation_of_receipt
case-3995,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,3,t06_determine_necessity_of_stop_advice
case-3995,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice,4,t10_determine_necessity_to_stop_indication
case-3987,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3987,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t10_determine_necessity_to_stop_indication
case-3987,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,2,t02_check_confirmation_of_receipt
case-3987,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt,3,t04_determine_confirmation_of_receipt
case-3987,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,4,t05_print_and_send_confirmation_of_receipt
case-4010,confirmation_of_receipt,0,t02_check_confirmation_of_receipt
case-4010,confirmation_of_receipt t02_check_confirmation_of_receipt,1,t04_determine_confirmation_of_receipt
case-4010,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,2,t05_print_and_send_confirmation_of_receipt
case-4010,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,3,t06_determine_necessity_of_stop_advice
case-4010,confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice,4,t10_determine_necessity_to_stop_indication
case-3961,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3961,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t07-3_draft_intern_advice_hold_for_aspect_3
case-3961,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-3_draft_intern_advice_hold_for_aspect_3,2,t06_determine_necessity_of_stop_advice
case-3961,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-3_draft_intern_advice_hold_for_aspect_3 t06_determine_necessity_of_stop_advice,3,t10_determine_necessity_to_stop_indication
case-3961,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-3_draft_intern_advice_hold_for_aspect_3 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,4,t02_check_confirmation_of_receipt
case-3961,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-3_draft_intern_advice_hold_for_aspect_3 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt,5,t04_determine_confirmation_of_receipt
case-3961,confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-3_draft_intern_advice_hold_for_aspect_3 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,6,t05_print_and_send_confirmation_of_receipt
case-3879,confirmation_of_receipt,0,t02_check_confirmation_of_receipt
case-3879,confirmation_of_receipt t02_check_confirmation_of_receipt,1,t06_determine_necessity_of_stop_advice
case-3879,confirmation_of_receipt t02_check_confirmation_of_receipt t06_determine_necessity_of_stop_advice,2,t10_determine_necessity_to_stop_indication
case-3879,confirmation_of_receipt t02_check_confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,3,t04_determine_confirmation_of_receipt
case-3879,confirmation_of_receipt t02_check_confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t04_determine_confirmation_of_receipt,4,t05_print_and_send_confirmation_of_receipt
case-3877,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t02_check_confirmation_of_receipt
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt,2,t04_determine_confirmation_of_receipt
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,3,t05_print_and_send_confirmation_of_receipt
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,4,t08_draft_and_send_request_for_advice
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t08_draft_and_send_request_for_advice,5,t07-5_draft_intern_advice_aspect_5
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t08_draft_and_send_request_for_advice t07-5_draft_intern_advice_aspect_5,6,t09-4_process_or_receive_external_advice_from_party_4
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t08_draft_and_send_request_for_advice t07-5_draft_intern_advice_aspect_5 t09-4_process_or_receive_external_advice_from_party_4,7,t06_determine_necessity_of_stop_advice
case-3877,confirmation_of_receipt t06_determine_necessity_of_stop_advice t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t08_draft_and_send_request_for_advice t07-5_draft_intern_advice_aspect_5 t09-4_process_or_receive_external_advice_from_party_4 t06_determine_necessity_of_stop_advice,8,t10_determine_necessity_to_stop_indication
case-4014,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-4014,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t10_determine_necessity_to_stop_indication
case-4014,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,2,t02_check_confirmation_of_receipt
case-4014,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt,3,t04_determine_confirmation_of_receipt
case-4014,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,4,t05_print_and_send_confirmation_of_receipt
case-4017,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-4017,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t10_determine_necessity_to_stop_indication
case-4017,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,2,t02_check_confirmation_of_receipt
case-4017,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt,3,t04_determine_confirmation_of_receipt
case-4017,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,4,t05_print_and_send_confirmation_of_receipt
case-4020,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-4020,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t10_determine_necessity_to_stop_indication
case-4020,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,2,t02_check_confirmation_of_receipt
case-4020,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt,3,t04_determine_confirmation_of_receipt
case-4020,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,4,t05_print_and_send_confirmation_of_receipt
case-4021,confirmation_of_receipt,0,t06_determine_necessity_of_stop_advice
case-4021,confirmation_of_receipt t06_determine_necessity_of_stop_advice,1,t10_determine_necessity_to_stop_indication
case-4021,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,2,t16_report_reasons_to_hold_request
case-4021,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t16_report_reasons_to_hold_request,3,t17_check_report_y_to_stop_indication
case-4021,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t16_report_reasons_to_hold_request t17_check_report_y_to_stop_indication,4,t19_determine_report_y_to_stop_indication
case-4021,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t16_report_reasons_to_hold_request t17_check_report_y_to_stop_indication t19_determine_report_y_to_stop_indication,5,t20_print_report_y_to_stop_indication
case-4021,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t16_report_reasons_to_hold_request t17_check_report_y_to_stop_indication t19_determine_report_y_to_stop_indication t20_print_report_y_to_stop_indication,6,t02_check_confirmation_of_receipt
case-4021,confirmation_of_receipt t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t16_report_reasons_to_hold_request t17_check_report_y_to_stop_indication t19_determine_report_y_to_stop_indication t20_print_report_y_to_stop_indication t02_check_confirmation_of_receipt,7,t04_determine_confirmation_of_receipt
