case_id,activity,timestamp,lifecycle
case-3984,T02_Check_confirmation_of_receipt,2010-11-04T09:34:05.717+01:00,complete
case-3984,T04_Determine_confirmation_of_receipt,2010-11-04T09:37:44.329+01:00,complete
case-3984,T05_Print_and_send_confirmation_of_receipt,2010-11-04T13:41:14.073+01:00,complete
case-3984,T06_Determine_necessity_of_stop_advice,2010-11-04T13:56:19.742+01:00,complete
case-3984,T10_Determine_necessity_to_stop_indication,2010-11-04T13:56:48.479+01:00,complete
case-3998,Confirmation_of_receipt,2010-10-26T09:18:14.992+02:00,complete
case-3998,T02_Check_confirmation_of_receipt,2010-10-26T15:51:51.369+02:00,complete
case-3998,T04_Determine_confirmation_of_receipt,2010-10-28T11:45:05.599+02:00,complete
case-3998,T05_Print_and_send_confirmation_of_receipt,2010-10-28T13:45:19.365+02:00,complete
case-3998,T06_Determine_necessity_of_stop_advice,2010-11-02T14:38:22.827+01:00,complete
case-3998,T10_Determine_necessity_to_stop_indication,2010-11-02T14:38:47.479+01:00,complete
case-3995,Confirmation_of_receipt,2010-10-26T09:45:05.690+02:00,complete
case-3995,T02_Check_confirmation_of_receipt,2010-10-26T15:51:10.937+02:00,complete
case-3995,T04_Determine_confirmation_of_receipt,2010-10-28T11:44:43.133+02:00,complete
case-3995,T05_Print_and_send_confirmation_of_receipt,2010-10-28T13:44:25.273+02:00,complete
case-3995,T06_Determine_necessity_of_stop_advice,2010-11-08T14:42:25.008+01:00,complete
case-3995,T10_Determine_necessity_to_stop_indication,2010-11-08T15:17:20.902+01:00,complete
case-3987,Confirmation_of_receipt,2010-10-26T10:47:33.327+02:00,complete
case-3987,T06_Determine_necessity_of_stop_advice,2010-10-26T12:23:24.830+02:00,complete
case-3987,T10_Determine_necessity_to_stop_indication,2010-10-26T12:27:17.766+02:00,complete
case-3987,T02_Check_confirmation_of_receipt,2010-10-26T15:52:17.181+02:00,complete
case-3987,T04_Determine_confirmation_of_receipt,2010-10-28T11:46:00.571+02:00,complete
case-3987,T05_Print_and_send_confirmation_of_receipt,2010-10-28T13:46:25.048+02:00,complete
case-4010,Confirmation_of_receipt,2010-10-26T11:03:01.924+02:00,complete
case-4010,T02_Check_confirmation_of_receipt,2010-10-26T15:52:41.293+02:00,complete
case-4010,T04_Determine_confirmation_of_receipt,2010-10-28T11:46:26.703+02:00,complete
case-4010,T05_Print_and_send_confirmation_of_receipt,2010-10-28T13:47:04.666+02:00,complete
case-4010,T06_Determine_necessity_of_stop_advice,2010-11-04T11:36:38.175+01:00,complete
case-4010,T10_Determine_necessity_to_stop_indication,2010-11-04T11:36:57.035+01:00,complete
case-4008,Confirmation_of_receipt,2010-10-26T15:28:43.424+02:00,complete
case-3961,Confirmation_of_receipt,2010-10-27T08:59:50.876+02:00,complete
case-3961,T06_Determine_necessity_of_stop_advice,2010-10-27T09:04:29.967+02:00,complete
case-3961,T07-3_Draft_intern_advice_hold_for_aspect_3,2010-10-27T09:20:34.229+02:00,complete
case-3961,T06_Determine_necessity_of_stop_advice,2010-11-01T08:42:39.946+01:00,complete
case-3961,T10_Determine_necessity_to_stop_indication,2010-11-01T08:43:32.894+01:00,complete
case-3961,T02_Check_confirmation_of_receipt,2010-11-04T11:39:31.978+01:00,complete
case-3961,T04_Determine_confirmation_of_receipt,2010-11-04T13:18:12.405+01:00,complete
case-3961,T05_Print_and_send_confirmation_of_receipt,2010-11-04T13:52:36.812+01:00,complete
case-3879,Confirmation_of_receipt,2010-10-27T09:27:51.856+02:00,complete
case-3879,T02_Check_confirmation_of_receipt,2010-11-04T11:23:25.112+01:00,complete
case-3879,T06_Determine_necessity_of_stop_advice,2010-11-04T15:03:15.752+01:00,complete
case-3879,T10_Determine_necessity_to_stop_indication,2010-11-04T15:03:49.437+01:00,complete
case-3879,T04_Determine_confirmation_of_receipt,2010-11-26T09:30:16.271+01:00,complete
case-3879,T05_Print_and_send_confirmation_of_receipt,2010-12-02T07:40:21.413+01:00,complete
case-3877,Confirmation_of_receipt,2010-11-01T10:37:56.964+01:00,complete
case-3877,T06_Determine_necessity_of_stop_advice,2010-11-02T10:38:19.621+01:00,complete
case-3877,T02_Check_confirmation_of_receipt,2010-11-02T10:41:42.166+01:00,complete
case-3877,T04_Determine_confirmation_of_receipt,2010-11-02T10:42:47.991+01:00,complete
case-3877,T05_Print_and_send_confirmation_of_receipt,2010-11-03T08:46:54.881+01:00,complete
case-3877,T08_Draft_and_send_request_for_advice,2010-11-03T10:06:27.156+01:00,complete
case-3877,T07-5_Draft_intern_advice_aspect_5,2010-11-03T10:06:46.745+01:00,complete
case-3877,T09-4_Process_or_receive_external_advice_from_party_4,2010-11-03T10:07:03.160+01:00,complete
case-3877,T06_Determine_necessity_of_stop_advice,2010-11-03T10:07:47.559+01:00,complete
case-3877,T10_Determine_necessity_to_stop_indication,2010-11-03T10:08:13.786+01:00,complete
case-4014,Confirmation_of_receipt,2010-11-01T11:22:55.945+01:00,complete
case-4014,T06_Determine_necessity_of_stop_advice,2010-11-01T11:25:03.686+01:00,complete
case-4014,T10_Determine_necessity_to_stop_indication,2010-11-01T11:25:43.152+01:00,complete
case-4014,T02_Check_confirmation_of_receipt,2010-11-01T11:45:22.431+01:00,complete
case-4014,T04_Determine_confirmation_of_receipt,2010-11-01T12:39:19.161+01:00,complete
case-4014,T05_Print_and_send_confirmation_of_receipt,2010-11-03T08:45:12.305+01:00,complete
case-4017,Confirmation_of_receipt,2010-11-01T12:16:04.360+01:00,complete
case-4017,T06_Determine_necessity_of_stop_advice,2010-11-01T12:19:33.758+01:00,complete
case-4017,T10_Determine_necessity_to_stop_indication,2010-11-01T12:21:48.593+01:00,complete
case-4017,T02_Check_confirmation_of_receipt,2010-11-01T12:40:15.155+01:00,complete
case-4017,T04_Determine_confirmation_of_receipt,2010-11-01T12:52:53.315+01:00,complete
case-4017,T05_Print_and_send_confirmation_of_receipt,2010-11-03T08:46:13.204+01:00,complete
case-4020,Confirmation_of_receipt,2010-11-01T12:46:24.892+01:00,complete
case-4020,T06_Determine_necessity_of_stop_advice,2010-11-01T12:46:55.737+01:00,complete
case-4020,T10_Determine_necessity_to_stop_indication,2010-11-01T12:47:52.420+01:00,complete
case-4020,T02_Check_confirmation_of_receipt,2010-11-04T10:29:40.881+01:00,complete
case-4020,T04_Determine_confirmation_of_receipt,2010-11-09T11:20:01.131+01:00,complete
case-4020,T05_Print_and_send_confirmation_of_receipt,2010-11-11T12:53:21.394+01:00,complete
case-4021,Confirmation_of_receipt,2010-11-01T13:55:26.056+01:00,complete
case-4021,T06_Determine_necessity_of_stop_advice,2010-11-01T13:56:49.019+01:00,complete
case-4021,T10_Determine_necessity_to_stop_indication,2010-11-01T13:59:17.587+01:00,complete
case-4021,T16_Report_reasons_to_hold_request,2010-11-01T14:08:01.278+01:00,complete
case-4021,T17_Check_report_Y_to_stop_indication,2010-11-01T14:21:05.870+01:00,complete
case-4021,T19_Determine_report_Y_to_stop_indication,2010-11-01T14:22:02.839+01:00,complete
case-4021,T20_Print_report_Y_to_stop_indication,2010-11-01T14:22:22.753+01:00,complete
case-4021,T02_Check_confirmation_of_receipt,2010-11-09T08:47:01.792+01:00,complete
case-4021,T04_Determine_confirmation_of_receipt,2010-11-09T13:04:41.176+01:00,complete
case-4021,T05_Print_and_send_confirmation_of_receipt,2010-11-11T12:54:27.065+01:00,complete
case-4025,Confirmation_of_receipt,2010-11-01T15:05:27.606+01:00,complete
case-4025,T06_Determine_necessity_of_stop_advice,2010-11-01T15:05:48.091+01:00,complete
case-4025,T10_Determine_necessity_to_stop_indication,2010-11-01T15:06:29.816+01:00,complete
case-4025,T02_Check_confirmation_of_receipt,2010-11-01T15:06:53.096+01:00,complete
case-4025,T03_Adjust_confirmation_of_receipt,2010-12-02T10:03:09.970+01:00,complete
case-4025,T02_Check_confirmation_of_receipt,2010-12-02T10:03:48.065+01:00,complete
case-4025,T04_Determine_confirmation_of_receipt,2010-12-02T10:04:10.288+01:00,complete
case-4025,T05_Print_and_send_confirmation_of_receipt,2010-12-02T10:10:12.758+01:00,complete
case-4027,Confirmation_of_receipt,2010-11-02T07:32:35.409+01:00,complete
case-4027,T06_Determine_necessity_of_stop_advice,2010-11-02T07:33:03.163+01:00,complete
case-4027,T10_Determine_necessity_to_stop_indication,2010-11-02T07:33:46.468+01:00,complete
case-4027,T02_Check_confirmation_of_receipt,2010-11-04T10:16:16.748+01:00,complete
case-4027,T04_Determine_confirmation_of_receipt,2010-11-04T11:34:39.983+01:00,complete
case-4027,T05_Print_and_send_confirmation_of_receipt,2010-11-04T17:04:13.689+01:00,complete
case-4028,Confirmation_of_receipt,2010-11-02T12:42:19.582+01:00,complete
case-4028,T06_Determine_necessity_of_stop_advice,2010-11-02T12:45:03.277+01:00,complete
case-4028,T10_Determine_necessity_to_stop_indication,2010-11-02T12:46:01.076+01:00,complete
case-4028,T02_Check_confirmation_of_receipt,2010-11-04T10:01:23.772+01:00,complete
case-4028,T04_Determine_confirmation_of_receipt,2010-11-04T15:27:23.404+01:00,complete
case-4028,T05_Print_and_send_confirmation_of_receipt,2010-11-11T12:52:39.426+01:00,complete
case-4057,Confirmation_of_receipt,2010-11-03T07:29:21.044+01:00,complete
case-4057,T06_Determine_necessity_of_stop_advice,2010-11-03T07:29:43.407+01:00,complete
case-4057,T10_Determine_necessity_to_stop_indication,2010-11-03T07:34:41.207+01:00,complete
case-4057,T02_Check_confirmation_of_receipt,2010-11-03T07:43:45.093+01:00,complete
case-4057,T03_Adjust_confirmation_of_receipt,2010-11-03T07:52:15.597+01:00,complete
case-4057,T02_Check_confirmation_of_receipt,2010-11-04T10:25:04.170+01:00,complete
case-4057,T04_Determine_confirmation_of_receipt,2010-11-11T14:56:32.965+01:00,complete
case-4057,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:06:20.910+01:00,complete
case-4058,Confirmation_of_receipt,2010-11-03T07:58:51.869+01:00,complete
case-4058,T06_Determine_necessity_of_stop_advice,2010-11-03T07:59:55.594+01:00,complete
case-4058,T10_Determine_necessity_to_stop_indication,2010-11-03T08:00:44.893+01:00,complete
case-4058,T02_Check_confirmation_of_receipt,2010-11-04T10:20:57.159+01:00,complete
case-4058,T04_Determine_confirmation_of_receipt,2010-11-11T14:38:59.844+01:00,complete
case-4058,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:20:22.813+01:00,complete
case-4059,Confirmation_of_receipt,2010-11-03T08:28:13.934+01:00,complete
case-4059,T06_Determine_necessity_of_stop_advice,2010-11-03T08:29:04.356+01:00,complete
case-4059,T10_Determine_necessity_to_stop_indication,2010-11-03T08:29:32.087+01:00,complete
case-4059,T02_Check_confirmation_of_receipt,2010-11-04T10:26:39.061+01:00,complete
case-4059,T04_Determine_confirmation_of_receipt,2010-11-11T14:57:37.754+01:00,complete
case-4059,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:07:03.744+01:00,complete
case-709,Confirmation_of_receipt,2010-11-03T10:57:52.384+01:00,complete
case-709,T02_Check_confirmation_of_receipt,2010-11-03T10:59:58.965+01:00,complete
case-709,T04_Determine_confirmation_of_receipt,2010-11-03T11:00:23.028+01:00,complete
case-709,T05_Print_and_send_confirmation_of_receipt,2010-11-03T11:00:57.724+01:00,complete
case-709,T06_Determine_necessity_of_stop_advice,2010-11-09T14:33:13.103+01:00,complete
case-709,T07-2_Draft_intern_advice_aspect_2,2010-11-09T14:33:55.830+01:00,complete
case-709,T06_Determine_necessity_of_stop_advice,2010-11-09T14:34:28.410+01:00,complete
case-709,T10_Determine_necessity_to_stop_indication,2010-11-09T14:34:55.347+01:00,complete
case-4061,Confirmation_of_receipt,2010-11-04T08:33:20.405+01:00,complete
case-4061,T06_Determine_necessity_of_stop_advice,2010-11-04T08:33:48.717+01:00,complete
case-4061,T10_Determine_necessity_to_stop_indication,2010-11-04T08:34:22.793+01:00,complete
case-4061,T02_Check_confirmation_of_receipt,2010-11-04T10:33:02.334+01:00,complete
case-4061,T04_Determine_confirmation_of_receipt,2010-11-04T11:51:09.059+01:00,complete
case-4061,T05_Print_and_send_confirmation_of_receipt,2010-11-04T13:46:12.386+01:00,complete
case-4063,Confirmation_of_receipt,2010-11-04T10:42:56.993+01:00,complete
case-4063,T06_Determine_necessity_of_stop_advice,2010-11-04T10:44:29.599+01:00,complete
case-4063,T10_Determine_necessity_to_stop_indication,2010-11-04T10:45:04.398+01:00,complete
case-4063,T02_Check_confirmation_of_receipt,2010-11-04T11:24:06.515+01:00,complete
case-4063,T04_Determine_confirmation_of_receipt,2010-11-04T11:30:38.645+01:00,complete
case-4063,T05_Print_and_send_confirmation_of_receipt,2010-11-04T13:38:23.965+01:00,complete
case-3926,Confirmation_of_receipt,2010-11-04T11:33:28.141+01:00,complete
case-3926,T02_Check_confirmation_of_receipt,2010-11-04T14:01:34.394+01:00,complete
case-3926,T06_Determine_necessity_of_stop_advice,2010-11-04T14:59:41.086+01:00,complete
case-3926,T10_Determine_necessity_to_stop_indication,2010-11-04T15:01:20.367+01:00,complete
case-3926,T03_Adjust_confirmation_of_receipt,2010-11-04T15:14:32.442+01:00,complete
case-3926,T02_Check_confirmation_of_receipt,2010-11-04T15:51:18.204+01:00,complete
case-3926,T03_Adjust_confirmation_of_receipt,2010-11-05T08:25:01.081+01:00,complete
case-3926,T02_Check_confirmation_of_receipt,2010-11-05T09:34:08.144+01:00,complete
case-3926,T04_Determine_confirmation_of_receipt,2010-11-11T15:04:26.194+01:00,complete
case-3926,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:09:08.525+01:00,complete
case-4000,Confirmation_of_receipt,2010-11-04T11:45:14.018+01:00,complete
case-4000,T06_Determine_necessity_of_stop_advice,2010-11-04T11:45:48.226+01:00,complete
case-4000,T10_Determine_necessity_to_stop_indication,2010-11-04T11:46:07.945+01:00,complete
case-4000,T02_Check_confirmation_of_receipt,2010-11-18T10:35:48.552+01:00,complete
case-4000,T03_Adjust_confirmation_of_receipt,2010-11-18T10:40:05.522+01:00,complete
case-4000,T02_Check_confirmation_of_receipt,2010-11-18T10:44:34.458+01:00,complete
case-4000,T04_Determine_confirmation_of_receipt,2010-11-24T11:14:28.576+01:00,complete
case-4000,T05_Print_and_send_confirmation_of_receipt,2010-11-30T09:26:54.924+01:00,complete
case-4100,Confirmation_of_receipt,2010-11-04T11:46:41.738+01:00,complete
case-4100,T06_Determine_necessity_of_stop_advice,2010-11-04T11:49:30.047+01:00,complete
case-4100,T07-5_Draft_intern_advice_aspect_5,2010-11-04T11:56:08.505+01:00,complete
case-4100,T06_Determine_necessity_of_stop_advice,2010-11-04T11:58:11.677+01:00,complete
case-4100,T10_Determine_necessity_to_stop_indication,2010-11-04T11:58:44.612+01:00,complete
case-4100,T02_Check_confirmation_of_receipt,2010-11-04T14:03:18.938+01:00,complete
case-4100,T03_Adjust_confirmation_of_receipt,2010-11-04T14:50:14.865+01:00,complete
case-4100,T02_Check_confirmation_of_receipt,2010-11-04T15:41:35.618+01:00,complete
case-4100,T03_Adjust_confirmation_of_receipt,2010-11-04T15:44:28.309+01:00,complete
case-4100,T02_Check_confirmation_of_receipt,2010-11-16T13:28:40.803+01:00,complete
case-4100,T04_Determine_confirmation_of_receipt,2010-11-17T13:45:24.748+01:00,complete
case-4100,T05_Print_and_send_confirmation_of_receipt,2010-11-22T14:06:25.987+01:00,complete
case-3997,Confirmation_of_receipt,2010-11-04T14:30:42.541+01:00,complete
case-3997,T06_Determine_necessity_of_stop_advice,2010-11-04T14:31:21.178+01:00,complete
case-3997,T10_Determine_necessity_to_stop_indication,2010-11-04T14:31:40.155+01:00,complete
case-3997,T02_Check_confirmation_of_receipt,2010-11-18T11:31:22.936+01:00,complete
case-3997,T04_Determine_confirmation_of_receipt,2010-11-22T12:08:49.070+01:00,complete
case-3997,T05_Print_and_send_confirmation_of_receipt,2010-11-30T09:15:04.106+01:00,complete
case-4175,Confirmation_of_receipt,2010-11-04T15:18:33.535+01:00,complete
case-4175,T06_Determine_necessity_of_stop_advice,2010-11-04T15:21:59.690+01:00,complete
case-4175,T07-5_Draft_intern_advice_aspect_5,2010-11-10T14:20:21.653+01:00,complete
case-4175,T06_Determine_necessity_of_stop_advice,2010-11-10T14:21:06.822+01:00,complete
case-4175,T07-5_Draft_intern_advice_aspect_5,2010-11-10T14:25:50.320+01:00,complete
case-4175,T06_Determine_necessity_of_stop_advice,2010-11-10T14:26:38.744+01:00,complete
case-4175,T10_Determine_necessity_to_stop_indication,2010-11-10T14:28:05.476+01:00,complete
case-4175,T02_Check_confirmation_of_receipt,2010-11-11T13:20:04.142+01:00,complete
case-4175,T04_Determine_confirmation_of_receipt,2010-11-17T13:41:03.018+01:00,complete
case-4175,T05_Print_and_send_confirmation_of_receipt,2010-11-30T08:56:13.703+01:00,complete
case-4084,Confirmation_of_receipt,2010-11-04T15:18:51.161+01:00,complete
case-4084,T02_Check_confirmation_of_receipt,2010-11-09T08:41:47.429+01:00,complete
case-4084,T06_Determine_necessity_of_stop_advice,2010-11-09T08:58:12.628+01:00,complete
case-4084,T03_Adjust_confirmation_of_receipt,2010-11-16T12:26:36.800+01:00,complete
case-4084,T02_Check_confirmation_of_receipt,2010-11-16T13:56:09.421+01:00,complete
case-4084,T03_Adjust_confirmation_of_receipt,2010-11-16T13:56:45.290+01:00,complete
case-4084,T02_Check_confirmation_of_receipt,2010-11-17T13:43:42.511+01:00,complete
case-4084,T04_Determine_confirmation_of_receipt,2010-11-22T08:30:48.002+01:00,complete
case-4084,T05_Print_and_send_confirmation_of_receipt,2010-11-30T09:02:53.720+01:00,complete
case-4084,T07-5_Draft_intern_advice_aspect_5,2010-12-20T12:38:27.652+01:00,complete
case-4015,Confirmation_of_receipt,2010-11-04T15:37:39.639+01:00,complete
case-4081,Confirmation_of_receipt,2010-11-05T08:58:23.197+01:00,complete
case-4081,T02_Check_confirmation_of_receipt,2010-11-05T09:39:29.677+01:00,complete
case-4081,T03_Adjust_confirmation_of_receipt,2010-11-05T11:22:11.329+01:00,complete
case-4081,T02_Check_confirmation_of_receipt,2010-11-09T15:45:27.109+01:00,complete
case-4081,T04_Determine_confirmation_of_receipt,2010-11-12T15:02:26.576+01:00,complete
case-4081,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:29:07.375+01:00,complete
case-4081,T06_Determine_necessity_of_stop_advice,2010-11-18T12:24:28.715+01:00,complete
case-4081,T10_Determine_necessity_to_stop_indication,2010-11-18T12:24:43.413+01:00,complete
case-4102,Confirmation_of_receipt,2010-11-05T09:26:50.492+01:00,complete
case-4102,T02_Check_confirmation_of_receipt,2010-11-05T09:36:28.810+01:00,complete
case-4102,T03_Adjust_confirmation_of_receipt,2010-11-05T09:43:41.331+01:00,complete
case-4102,T02_Check_confirmation_of_receipt,2010-11-09T15:46:11.084+01:00,complete
case-4102,T04_Determine_confirmation_of_receipt,2010-11-12T14:58:23.296+01:00,complete
case-4102,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:27:07.150+01:00,complete
case-4102,T06_Determine_necessity_of_stop_advice,2010-11-16T16:09:30.900+01:00,complete
case-4102,T10_Determine_necessity_to_stop_indication,2010-11-16T16:12:49.284+01:00,complete
case-4077,Confirmation_of_receipt,2010-11-05T11:42:28.549+01:00,complete
case-4077,T02_Check_confirmation_of_receipt,2010-11-09T15:56:48.464+01:00,complete
case-4077,T04_Determine_confirmation_of_receipt,2010-11-12T14:48:36.475+01:00,complete
case-4077,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:23:00.561+01:00,complete
case-4077,T06_Determine_necessity_of_stop_advice,2010-11-17T12:06:19.161+01:00,complete
case-4077,T10_Determine_necessity_to_stop_indication,2010-11-17T12:06:46.426+01:00,complete
case-4149,Confirmation_of_receipt,2010-11-05T14:30:08.159+01:00,complete
case-4149,T06_Determine_necessity_of_stop_advice,2010-11-05T14:31:07.966+01:00,complete
case-4149,T10_Determine_necessity_to_stop_indication,2010-11-05T14:31:35.445+01:00,complete
case-4149,T02_Check_confirmation_of_receipt,2010-11-09T15:44:17.788+01:00,complete
case-4149,T04_Determine_confirmation_of_receipt,2010-11-12T15:00:18.957+01:00,complete
case-4149,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:25:26.201+01:00,complete
case-4114,Confirmation_of_receipt,2010-11-05T15:19:40.640+01:00,complete
case-4114,T02_Check_confirmation_of_receipt,2010-11-09T15:43:08.091+01:00,complete
case-4114,T04_Determine_confirmation_of_receipt,2010-11-12T14:46:48.754+01:00,complete
case-4114,T05_Print_and_send_confirmation_of_receipt,2010-11-16T10:26:34.559+01:00,complete
case-4114,T06_Determine_necessity_of_stop_advice,2010-11-18T14:45:48.314+01:00,complete
case-4114,T10_Determine_necessity_to_stop_indication,2010-11-18T14:46:07.723+01:00,complete
case-4011,Confirmation_of_receipt,2010-11-08T09:18:09.532+01:00,complete
case-4011,T06_Determine_necessity_of_stop_advice,2010-11-08T09:18:29.688+01:00,complete
case-4011,T10_Determine_necessity_to_stop_indication,2010-11-08T09:18:55.857+01:00,complete
